鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
楊梅區,房地(土地+建物),桃園市楊梅區自立街１３８之４號,24.63,,,,1121126,土地1建物1車位0,一層，二層，騎樓,九層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0830527,191.28,2,1,2,有,有,8380000,43810,,0.0,0,其他增建；,RPVOMLMJKHJGFDH38DA,181.44,0.0,0.0,有,
大園區,房地(土地+建物)+車位,桃園市大園區環區西路５７１號三樓之１,30.45,住,,,1121128,土地1建物1車位1,三層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1121128,149.54000000000002,3,2,2,有,有,10980000,72291,坡道平面,21.17,1700000,親友、員工、共有人或其他特殊關係間之交易；預售屋、或土地及建物分件登記案件；,RPSQMLKKJHJGFEH18DA,75.92,0.0,8.94,有,
八德區,房地(土地+建物)+車位,桃園市八德區建國路１３３巷３弄８號二樓,23.24,住,,,1121121,土地1建物1車位1,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0871120,132.31,3,2,2,有,有,7300000,55173,坡道機械,0.0,0,,RPRNMLMLJIIGFFH18DA,81.17,0.0,11.02,有,205
平鎮區,房地(土地+建物)+車位,桃園市平鎮區新德街２４６號六樓,29.34,住,,,1121103,土地2建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821108,155.07999999999998,3,2,2,有,有,7000000,45138,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLLJKIIGFGH38DA,88.02,0.54,4.71,有,
平鎮區,房地(土地+建物),桃園市平鎮區關爺西路３９號五樓,39.85,,鄉村區,乙種建築用地,1121126,土地2建物2車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701218,160.5,3,2,2,有,無,5100000,31776,,0.0,0,本約標的關爺段488地號持分1/5及459建號持分1/1買賣價為新台幣260萬元整；關爺段489地號持分1/5及464建號持分1/1買賣價為新台幣250萬元整；以上合計總價新台幣510萬元整。,RPQOMLSLKIIGFGH98DA,160.5,0.0,0.0,無,
龜山區,房地(土地+建物)+車位,桃園市龜山區樂學三路９９號十樓之５,16.41,住,,,1121129,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091126,124.71000000000001,2,2,1,有,有,13110000,105124,坡道平面,25.4,0,,RPWNMLQLKIIGFHH76DA,58.69,0.0,7.28,有,206
中壢區,房地(土地+建物),桃園市中壢區龍岡路三段３７巷１８號六樓,11.26,商,,,1121116,土地2建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060605,80.26,2,1,1,有,有,6980000,86967,,0.0,0,,RPSNMLQJKHJGFBH28EA,49.19,1.3,4.28,有,207
龜山區,房地(土地+建物)+車位,桃園市龜山區文化二路６８號十一樓,18.28,商,,,1121117,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060713,179.51,3,2,2,有,有,21810000,121497,坡道平面,0.0,0,陽台外推；,RPPOMLPJKHJGFHH58EA,91.02,0.0,8.76,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區國豐八街１６之２號八樓,17.91,住,,,1121129,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1111109,141.03,2,2,2,有,有,8200000,58144,坡道平面,26.67,0,親友、員工、共有人或其他特殊關係間之交易；,RPWQMLOJKIIGFAH58DA,70.4,0.0,6.23,有,208
中壢區,房地(土地+建物),桃園市中壢區內定二街４８８之２號,84.97,,一般農業區,甲種建築用地,1121119,土地1建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,1120210,263.72999999999996,4,3,4,有,有,27500000,104273,,0.0,0,買賣雙方協議：土地成交價款為新臺幣壹仟伍佰陸拾柒萬伍仟元整15675000元、房屋成交價款為新臺幣壹仟壹佰捌拾貳萬伍仟元整11825000元。,RPWOMLKKJHJGFBH08DA,248.37,0.0,14.78,有,
觀音區,房地(土地+建物),桃園市觀音區長春街２９號四樓之３,18.04,,工業區,丁種建築用地,1121121,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1051010,73.27,3,2,2,有,有,4600000,62781,,0.0,0,,RPOQMLLMJHJGFBH77DA,55.23,0.0,6.85,有,209
龍潭區,房地(土地+建物),桃園市龍潭區龍平路１１０７巷５５弄２３號,109.3,,一般農業區,甲種建築用地,1121111,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1060711,194.65,3,2,3,有,無,14800000,76034,,0.0,0,其他增建；,RPUNMLOLJHJGFCH38DA,160.63,9.11,24.6,無,210
龍潭區,土地,高平段1731-1地號,827.67,,山坡地保育區,農牧用地,1121120,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3386000,4091,,0.0,0,本交易土地為毗鄰土地辦理分割+交換+買賣及合併依農發條例規定辦理親友、員工、共有人或其他特殊關係間之交易；畸零地或有合併使用效益；,RPOOMLQJKHJGFCH97DA,0.0,0.0,0.0,無,
楊梅區,土地,幼獅段10地號,5719.62,農,,,1121130,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,141010000,24654,,0.0,0,,RPTOMLKMJIIGFDH18DA,0.0,0.0,0.0,無,211
楊梅區,房地(土地+建物),桃園市楊梅區梅獅路一段９６號,2886.47,工,,,1121126,土地7建物2車位0,全,二層,透天厝,工業用,鋼骨造,1030410,2000.42,0,0,0,無,無,210000000,104978,,0.0,0,土地買賣價格：壹億捌仟萬元整、建物買賣價格：參仟萬元整,RPWNMLTJJHJGFDH98DA,1929.64,70.78,0.0,無,
大園區,房地(土地+建物),桃園市大園區園七街９１巷１號,86.86,住,,,1121105,土地1建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,1120817,218.68,4,2,4,有,有,17600000,80483,,0.0,0,,RPQPMLMKKIIGFEH18DA,180.61,0.0,38.07,有,
