鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
林口區,房地(土地+建物)+車位,文化二路一段541~570號,13.67,都市：其他:中心商業區,,,1090830,土地1建物1車位1,九層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961017,145.54,2,2,1,有,有,10600000,72832,坡道平面,41.78,0,,RPSOMLOKIIPFFBF38DA,63.56,0.0,6.63,有
新莊區,房地(土地+建物),西盛街181~210號,9.29,都市：其他:住宅區,,,1090924,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890717,75.17,2,2,1,有,有,7560000,100572,,0.0,0,其他增建;,RPUPMLOKIIPFFBF68DA,52.44,0.0,7.69,有
新莊區,房地(土地+建物)+車位,中正路340巷1~30號,19.31,都市：其他:住宅區,,,1070107,土地1建物1車位1,五層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090618,160.75,3,2,2,有,有,18800000,120133,坡道平面,22.57,2200000,,RPVQMLPKIIPFFBF98DA,86.53,0.0,4.55,有
五股區,房地(土地+建物),成泰路一段1~30號,15.26,都市：其他:住宅區,,,1091005,土地4建物1車位0,九層，夾層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860306,88.62,4,2,2,有,有,7200000,81246,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPVTMLOKIIPFFBF56DA,60.78,0.0,7.47,有
五股區,房地(土地+建物)+車位,新五路三段241~270號,16.37,都市：其他:商業區,,,1090929,土地1建物1車位1,十二層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060104,158.93,3,2,2,有,有,13900000,87460,坡道平面,0.0,0,,RPOWMLPKIIPFFBF88DA,75.66,4.33,5.03,有
林口區,房地(土地+建物)+車位,民富街61~90號,15.52,都市：其他:中心商業區,,,1090816,土地1建物1車位1,八層,二十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090122,191.32999999999998,3,2,2,有,有,20620000,107778,坡道平面,22.8,0,,RPWSMLQKIIPFFBF76DA,100.95,5.82,9.72,有
新莊區,房地(土地+建物)+車位,思源路370巷1~30號,15.41,都市：其他:第二種住宅區,,,1090830,土地1建物1車位1,十八層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081017,109.76,1,1,1,有,有,12220000,131294,坡道平面,32.3,2050000,房屋含車位買賣價款含營業稅,RPXPMLQKIIPFFBF56DA,39.93,2.81,2.34,有
林口區,房地(土地+建物),信義路361~390號,8.19,都市：其他:第五種住宅區,,,1090816,土地1建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070125,57.69,1,1,1,有,有,5900000,102271,,0.0,0,,RPQNMLQKIIPFFBF28DA,31.6,1.91,4.98,有
五股區,土地,芳洲段1~30地號,849.81,都市：其他:住宅區,,,1090919,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,161952588,190575,,0.0,0,,RPSOMLPKIIPFFBF48DA,0.0,0.0,0.0,無
新莊區,房地(土地+建物),新崑路151~180號,10.19,都市：其他:商業區,,,1090911,土地1建物1車位0,二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060804,76.96000000000001,2,2,1,有,有,7260000,94335,,0.0,0,,RPWOMLPKIIPFFBF88DA,45.72,0.0,5.45,有
